iso2,canton,Montant bourse,Bénéficiaires bourse,Nombre d'étudiants tertiaire,% bénéficaires bourse III,montant bourse III par bénéficiaire
ZH,Zurich,14503523,1429,40593,3.5203113837,10149.4212736179
BE,Berne,12735287,1328,27969,4.7481139833,9589.8245481928
LU,Lucerne,6118200,1071,12370,8.658043654,5712.6050420168
UR,Uri,923000,143,978,14.6216768916,6454.5454545455
SZ,Schwyz,2958813,375,3769,9.9495887503,7890.168
OW,Obwald,1408283,154,1035,14.8792270531,9144.6948051948
NW,Nidwald,818187,105,1238,8.4814216478,7792.2571428572
GL,Glaris,937100,91,1017,8.947885939,10297.8021978022
ZG,Zoug,1473500,165,3642,4.5304777595,8930.303030303
FR,Fribourg,4911726,724,8478,8.539749941,6784.1519337017
SO,Soleure,5679420,724,7095,10.2043692741,7844.5027624309
BS,Bâle-Ville,5378802,681,5604,12.1520342612,7898.3876651982
BL,Bâle-Campagne,7807698,1005,8208,12.2441520468,7768.8537313433
SH,Schaffhouse,1054125,184,2364,7.7834179357,5728.9402173913
AR,Appenzell Rh.-E.,1131200,181,1660,10.9036144578,6249.7237569061
AI,Appenzell Rh.-I.,568200,76,488,15.5737704918,7476.3157894737
SG,Saint-Gall,3990860,682,14002,4.8707327525,5851.7008797654
GR,Grisons,8838300,1367,5659,24.1562113448,6465.4718361375
AG,Argovie,10882350,1133,16651,6.8043961324,9604.8984995587
TG,Thurgovie,4845034,662,6890,9.6081277213,7318.7824773414
TI,Tessin,15119284,1752,8093,21.6483380699,8629.7283105023
VD,Vaud,26497090,2154,19472,11.0620377979,12301.3416898793
VS,Valais,12177550,2088,8731,23.9147863933,5832.1599616858
NE,Neuchâtel,3630112,605,5678,10.6551602677,6000.185123967
GE,Genève,9825179,970,12413,7.8143881415,10129.0505154639
JU,Jura,3454756,433,2123,20.3956665097,7978.6512702079
